       Omega           X           Y   Intensity        Size       Eig 1       Eig 2       Eig 3      Eigv 1      Eigv 2      Eigv 3      Eigv 4      Eigv 5      Eigv 6      Eigv 7      Eigv 8      Eigv 9
      256.00     1358.00      957.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      258.00     1361.00      967.00     224.649       3.000       0.333       0.236       0.236       0.000      -0.707       0.707       0.000       0.707       0.707       1.000       0.000       0.000
      258.50     1358.00      968.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      259.00     1361.50      964.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      259.00     1358.00      965.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      260.00     1359.00      960.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      260.50     1362.50      969.50     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      263.00     1361.00      968.00     196.568       3.000       0.471       0.707       0.000       0.707       0.707       0.000      -0.707       0.707       0.000       0.000       0.000       1.000
      264.00     1360.00      965.00     215.289       3.000       0.667       0.471       0.236       0.000      -0.707      -0.707       0.000      -0.707       0.707       1.000       0.000       0.000
      242.00     1286.00     1073.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      245.00      892.00     1200.00    2358.814       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      244.00     1245.00     1277.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      248.00     1286.00     1073.00     458.658       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      248.00     1218.00     1068.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      251.00      892.00     1200.00    2209.048       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      254.00     1286.00     1073.00     617.785       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      254.00      765.00      826.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      256.00      754.00      830.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      258.00      892.00     1200.00    3547.582       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      260.00     1286.00     1073.00     411.856       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      264.00      892.00     1200.00    2209.048       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      269.00     1286.00     1073.00     346.334       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      273.00      892.00     1200.00    1759.750       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      274.00     1199.00     1310.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      276.00     1286.00     1073.00     477.379       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      278.00      828.00      978.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      279.00      692.50     1107.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      280.00      892.00     1200.00    1170.047       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      283.00      692.00     1099.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      284.00      692.00     1104.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      284.00      693.00     1107.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      285.00      692.00     1098.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      286.00      690.00     1097.00     205.928       4.000       0.750       0.237       0.079       0.000      -0.316       0.949       0.000       0.949       0.316       1.000       0.000       0.000
      286.00      694.00     1097.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      287.00      694.00     1101.00     224.649       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      288.00      691.00     1104.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      290.00      691.00     1095.00     215.289       4.000       1.265       0.474       0.000      -0.316      -0.949       0.000      -0.949       0.316       0.000       0.000       0.000       1.000
      291.00      688.00     1088.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      291.00      691.00     1090.00     234.009       4.000       0.750       0.000       1.000       0.000      -1.000       0.000       0.000      -0.000      -1.000       1.000       0.000       0.000
      292.00      692.00     1095.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      293.00      690.00     1097.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      294.00      691.00     1092.00     224.649       8.000       0.974       1.046       1.198       0.662       0.257      -0.704       0.729      -0.439       0.526       0.174       0.861       0.478
      295.00      688.00     1089.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      296.00      692.00     1097.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      283.00     1286.00     1073.00     599.064       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      286.50      892.00     1200.00    1619.345       1.500       0.250       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      290.00     1286.00     1073.00     458.658       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      292.00     1312.00     1190.00     327.613      98.000       4.049       3.031       2.472       0.921       0.389       0.001       0.387      -0.917      -0.092       0.035      -0.085       0.996
      294.00     1314.00     1183.00     327.613     115.000       3.453       3.588       2.753       0.909       0.412       0.059       0.376      -0.874       0.308      -0.178       0.258       0.950
      294.00      892.00     1200.00    1619.345       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      298.00     1286.00     1073.00     290.172       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      302.00     1283.00      809.00     280.811      47.000       2.478       2.009       1.745       0.349      -0.615      -0.707      -0.864       0.081      -0.497      -0.362      -0.784       0.503
      302.00     1286.00      814.00     355.694      72.000       3.994       2.452       3.148       0.163      -0.714      -0.681      -0.986      -0.102      -0.130       0.024       0.693      -0.721
      305.00     1282.00      809.00     252.730       4.000       0.000       1.000       0.750       0.000       0.000      -1.000       1.000       0.000       0.000       0.000      -1.000       0.000
      303.00      690.00     1091.00     224.649       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      304.00      691.00     1085.00     205.928       5.000       0.861       0.719       0.378       0.606       0.606      -0.515       0.707      -0.707       0.000      -0.365      -0.365      -0.857
      304.50      688.00     1088.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      305.00      686.00     1085.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      307.00      690.00     1083.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      302.00      892.00     1200.00     879.875       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      305.00     1286.00     1073.00     486.739       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      309.00      892.00     1200.00    3248.050       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      308.00     1036.00     1224.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      312.00     1286.00     1073.00     542.902       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      313.00      689.00     1079.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      316.00      892.00     1200.00    2209.048       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      316.00     1280.00      804.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      318.00     1286.00     1073.00     449.298       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      321.00     1091.00      774.00     205.928       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      321.00     1094.00      774.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      323.00      892.00     1200.00    1170.047       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      326.50     1286.00     1073.00     299.532       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      330.00      892.00     1200.00    1170.047       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      334.00     1286.00     1073.00     346.334       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      337.00     1341.00      904.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      337.00     1343.00      907.00     215.289       3.000       0.471       0.707       0.000       0.707       0.707       0.000      -0.707       0.707       0.000       0.000       0.000       1.000
      338.00     1344.00      910.00     252.730      22.000       3.563       1.471       1.353       0.955       0.295      -0.035       0.232      -0.812      -0.536       0.187      -0.504       0.843
      341.00     1343.00      908.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      342.00     1344.00      913.00     205.928       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      337.00     1093.00      774.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      338.00     1096.00      774.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      341.00     1095.00      774.00     215.289       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      342.00     1098.00      774.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      344.00     1100.00      774.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      346.00     1095.00      774.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      349.00     1096.00      774.00     234.009       4.000       0.263       1.000       0.425       0.526       0.000      -0.851      -0.851       0.000      -0.526       0.000       1.000       0.000
      350.00     1092.00      773.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      353.00     1096.00      774.00     234.009       6.000       1.344       1.000       0.465       0.261       0.000      -0.965       0.000       1.000       0.000      -0.965       0.000      -0.261
      353.00     1100.00      774.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      356.00     1095.00      774.00     234.009       9.000       0.355       1.021       0.778       0.000      -0.000      -1.000       0.991       0.135      -0.000      -0.135       0.991      -0.000
      357.00     1097.00      774.00     234.009       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      357.00     1100.00      775.00     243.370       3.000       0.667       0.471       0.236       0.000      -0.707      -0.707       0.000      -0.707       0.707       1.000       0.000       0.000
      359.00     1095.00      774.00     234.009      10.000       0.952       1.339       1.339      -0.202       0.544      -0.814       0.283       0.828       0.483       0.938      -0.133      -0.321
      360.00     1098.00      775.00     252.730      11.000       1.467       1.012       1.356       0.345       0.664       0.663      -0.200      -0.638       0.744       0.917      -0.390      -0.087
      339.00      892.00     1200.00    1909.516       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      341.00     1286.00     1073.00     458.658       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      347.00      735.00      855.00     346.334     110.000       3.714       3.713       2.342       0.981       0.029       0.192      -0.087      -0.819       0.567      -0.174       0.573       0.801
      351.00      730.00      861.00     271.451      82.000       4.054       2.310       2.247       0.987       0.157       0.026      -0.092       0.700      -0.709       0.130      -0.697      -0.705
      353.00      739.00      853.00     271.451       7.000       0.219       1.857       0.528       0.383       0.000       0.924      -0.924       0.000       0.383       0.000       1.000      -0.000
      354.00      735.00      858.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      345.00      892.00     1200.00    3856.474       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      346.00     1279.00     1245.00     243.370       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      350.00     1278.00     1244.00     234.009       4.000       0.750       0.000       1.000       0.000      -1.000       0.000       0.000      -0.000      -1.000       1.000       0.000       0.000
      348.00     1286.00     1073.00     421.217       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      352.00      892.00     1200.00    4455.538       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      355.00     1286.00     1073.00     430.577       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      355.00     1281.00     1243.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      357.00      892.00     1200.00     580.343       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      363.00     1099.00      775.00     234.009      20.000       1.744       1.637       2.124       0.697      -0.154       0.700       0.645       0.560      -0.520      -0.312       0.814       0.490
      364.00     1095.00      774.00     290.172      31.000       1.191       2.925       1.758       0.451      -0.067      -0.890      -0.892      -0.039      -0.450      -0.004       0.997      -0.078
      367.00     1095.00      774.00     299.532      59.000       3.265       5.359       4.362       0.538      -0.043      -0.842      -0.843      -0.002      -0.538       0.021       0.999      -0.038
      368.50     1094.00      771.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      374.00     1094.00      774.00     299.532     139.000       4.033       4.831       4.227       0.763      -0.260      -0.591       0.641       0.190       0.744       0.081       0.947      -0.311
      377.00     1095.00      774.00     327.613      49.000       2.258       2.069       3.587       0.574      -0.609       0.546      -0.612      -0.763      -0.207      -0.543       0.215       0.811
      379.00     1098.00      774.00     318.253      95.000       3.569       2.716       4.525       0.605       0.246       0.757      -0.796       0.164       0.583       0.019      -0.955       0.295
      382.00     1095.00      774.00     336.973      20.000       1.376       1.944       1.701       0.471       0.002       0.882      -0.562      -0.770       0.302      -0.680       0.638       0.361
      384.00     1091.00      772.00     234.009       9.000       0.896       1.050       0.990       0.634       0.384       0.656      -0.640      -0.219       0.700       0.060      -0.003      -0.255
      383.00     1100.00      774.00     308.892      36.000       3.177       1.655       1.655       0.811      -0.566      -0.149      -0.583      -0.803      -0.125       0.049      -0.188       0.981
      386.00     1088.00      772.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      386.00     1091.00      774.00     234.009       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      387.00     1100.00      775.00     327.613      26.000       1.624       2.274       2.907       0.360      -0.320       0.876      -0.438      -0.887      -0.144      -0.824       0.332       0.460
      389.00     1102.00      768.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      389.00     1095.00      774.00     374.415     227.000       5.680       4.678       4.408       0.888      -0.093      -0.450      -0.427      -0.527      -0.735       0.169      -0.845       0.508
      390.00     1099.00      774.00     346.334     124.000       4.636       3.680       3.204       0.206       0.265       0.942      -0.157      -0.941       0.299       0.966      -0.210      -0.153
      393.00     1088.00      771.00     205.928       6.000       1.026       1.165       0.478       0.106       0.201      -0.974      -0.935      -0.313      -0.166       0.339      -0.928      -0.155
      393.50     1097.00      772.00     346.334     123.000       4.543       3.687       2.986      -0.250      -0.026       0.943       0.259       0.857       0.113       0.122       0.357      -0.009
      396.00     1099.00      774.00     346.334     193.000       5.902       5.386       4.256       0.096      -0.352      -0.931      -0.903       0.362      -0.230      -0.418      -0.863       0.284
      397.00     1089.00      770.00     234.009       7.000       1.393       0.594       1.043       0.867      -0.397       0.301      -0.108      -0.740      -0.664       0.486       0.543      -0.684
      399.00     1096.00      767.00     318.253     132.000       3.389       4.955       3.302       0.983       0.098       0.155      -0.134      -0.196       0.971       0.126      -0.976      -0.179
      400.00     1096.00      772.00     383.775     193.000       7.128       4.221       3.474      -0.234      -0.360       0.903       0.578       0.696       0.427      -0.782       0.621       0.046
      403.00     1090.00      770.00     280.811       6.000       0.664       0.812       0.909      -0.243      -0.643       0.726       0.205       0.698       0.686       0.948      -0.316       0.038
      403.00     1100.00      770.00     402.496      37.000       2.084       2.547       1.898       0.728       0.667       0.158      -0.029      -0.200       0.979      -0.685       0.717       0.127
      403.00     1098.00      774.00     383.775     171.000       5.604       2.550       2.936       0.028       0.138       0.990       0.003       0.990      -0.138       1.000      -0.007      -0.027
      408.00     1100.00      773.00     374.415     317.000       6.884       7.011       3.886       0.223       0.263       0.939       0.791       0.513      -0.332       0.569      -0.817       0.094
      412.00     1103.00      776.00     318.253      15.000       1.506       2.080       0.965       0.721       0.107       0.685       0.672       0.136      -0.728       0.171      -0.985      -0.027
      414.00     1106.00      777.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      419.00     1098.00      768.50     599.064    1221.500       7.817       7.676       5.201       0.417      -0.001       0.335      -0.225       0.294      -0.417       0.399       0.544      -0.118
      362.00     1286.00     1073.00     393.136       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      363.00      758.50     1229.50     365.055      46.500       2.878       1.666       1.771       0.968       0.165      -0.187       0.242      -0.803       0.543      -0.013       0.014      -0.009
      367.00      763.00     1236.00     430.577     133.000       3.496       3.356       3.009       0.897      -0.194      -0.398      -0.289      -0.937      -0.195       0.335      -0.290       0.896
      367.00      892.00     1200.00    1319.813       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      370.50     1286.00     1073.00     336.973       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      374.00      892.00     1200.00    1909.516       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      377.00     1286.00     1073.00     458.658       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      378.00      766.00     1239.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      381.00      892.00     1200.00    2508.580       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      384.00     1325.00      868.00     252.730      19.000       2.278       2.467       0.917       0.912       0.406       0.059      -0.366       0.741       0.564      -0.185       0.536      -0.824
      388.00     1325.00      868.00     252.730       3.000       0.471       0.667       0.471       0.707       0.000       0.707       0.707       0.000      -0.707       0.000      -1.000       0.000
      384.00     1286.00     1073.00     542.902       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      389.00      704.00     1135.00     308.892      33.000       2.261       2.912       1.479       0.938      -0.346      -0.010       0.333       0.911      -0.242       0.093       0.223       0.970
      389.00      706.00     1142.00     280.811      12.000       2.042       1.309       0.920       0.953      -0.303      -0.004       0.291       0.911       0.293       0.086       0.280      -0.956
      392.50      705.50     1139.50     252.730      26.500       1.589       2.123       1.117       0.602      -0.750       0.247       0.773       0.625       0.010       0.167      -0.182      -0.967
      389.00     1357.00      957.00     243.370      13.000       1.176       1.305       1.444      -0.286       0.655       0.699      -0.234      -0.755       0.612       0.929       0.011       0.370
      391.00     1356.00      951.00     243.370      14.000       1.258       1.067       1.175       0.914      -0.052      -0.403       0.390       0.386       0.836       0.112      -0.921       0.373
      387.00      892.00     1200.00    2358.814       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      389.00     1110.00     1047.00    1516.381       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      396.00     1110.00     1047.00     664.587       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      391.00     1286.00     1073.00     524.181       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      395.00      892.00     1200.00    1619.345       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      398.00     1286.00     1073.00     449.298       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      402.00     1220.00     1255.50     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      403.00     1110.00     1047.00     907.956       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      403.00      892.00     1200.00     879.875       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      406.00     1286.00     1073.00     421.217       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      410.00      892.00     1200.00    1170.047       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      413.00     1286.00     1073.00     383.775       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      414.00      770.00      800.00     215.289       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      419.00     1121.00     1138.00     234.009       8.000       1.248       0.645       0.440       0.474      -0.860      -0.188      -0.879      -0.476      -0.041       0.054      -0.185       0.981
      417.00      892.00     1200.00    4006.240       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      428.00     1107.00      777.00     234.009       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      429.00     1110.00      776.00     187.207       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      432.00     1111.00      778.00     196.568       0.500       0.000       0.000       0.000       0.500       0.000       0.000       0.000       0.500       0.000       0.000       0.000       0.500
      441.00     1111.00      779.00     252.730       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      446.50     1110.50      778.50     243.370       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      451.00     1111.00      779.00     290.172       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      453.00     1096.00      766.00   10408.736    2266.000      21.993       6.329       4.260       0.999       0.005      -0.044       0.038       0.399       0.916      -0.022       0.917      -0.398
      455.00     1111.00      779.00     290.172       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      456.50     1090.00      764.00    6056.162     244.000       4.489       4.281       3.805       0.984      -0.014       0.105      -0.034       0.000       0.014      -0.137       0.020      -0.014
      461.00     1107.00      777.00     411.856       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      465.00     1091.00      764.00    4146.646     113.000       3.154       3.105       2.910      -0.016      -0.800      -0.600       0.049       0.598      -0.800       0.999      -0.042       0.029
      466.00     1115.00      778.00     196.568       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      469.00     1092.00      764.00    4698.908     583.000       7.240       4.661       4.575       0.965       0.138       0.223       0.262      -0.466      -0.845      -0.012       0.874      -0.485
      474.00     1115.00      778.00     196.568       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      477.00     1111.00      778.00     299.532       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
      421.00     1286.00     1073.00     346.334       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      422.00     1119.00     1140.00     234.009       8.000       0.730       1.810       0.934       0.165      -0.457       0.874      -0.723      -0.659      -0.208      -0.671       0.597       0.439
      424.00      892.00     1200.00    2209.048       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      427.00     1286.00     1073.00     411.856       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      430.00      892.00     1200.00    1319.813       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      434.00     1286.00     1073.00     299.532       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      437.00     1286.00     1073.00     234.009       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      433.00     1036.00     1224.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      438.00      722.00     1178.00     299.532      20.000       1.218       1.581       1.758      -0.373       0.922       0.109      -0.349      -0.248       0.904      -0.860      -0.299      -0.414
      439.00      726.00     1183.00     234.009      14.000       0.988       0.613       1.232      -0.114       0.988      -0.102      -0.165       0.082       0.983       0.980       0.129       0.153
