       Omega           X           Y   Intensity        Size       Eig 1       Eig 2       Eig 3      Eigv 1      Eigv 2      Eigv 3      Eigv 4      Eigv 5      Eigv 6      Eigv 7      Eigv 8      Eigv 9
       51.00     1152.00     1327.00     215.289       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
       57.00     1153.00     1326.00     290.172      18.000       1.742       2.126       0.949      -0.025       0.127      -0.992      -0.782      -0.621      -0.060      -0.623       0.774       0.115
       59.00     1154.00     1325.00     290.172      11.000       0.980       2.152       1.130       0.165       0.119      -0.979       0.967       0.176       0.185      -0.194       0.977       0.086
       53.00     1286.00     1073.00     308.892       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       58.00      892.00     1200.00    3248.050       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       62.00     1286.00     1073.00     430.577       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       65.00      892.00     1200.00    2059.282       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       68.00     1286.00     1073.00     645.866       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       73.00      892.00     1200.00    2508.580       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       73.00     1110.00     1047.00    1010.920       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       79.00     1261.00     1255.00     411.856     184.000       4.686       2.318       3.958       0.993       0.021       0.114      -0.065      -0.715       0.696       0.096      -0.699      -0.709
       85.00     1263.00     1251.00     336.973     124.000       5.119       2.596       2.406       0.997       0.077       0.021       0.068      -0.963       0.262       0.040      -0.260      -0.965
       87.00     1260.00     1254.00     262.090      10.000       1.593       1.138       0.687       0.938      -0.311       0.151       0.265       0.927       0.265      -0.223      -0.208       0.952
       91.00     1264.00     1250.00     262.090      21.000       1.571       1.604       1.222       0.486       0.702       0.521      -0.606       0.700      -0.378       0.630       0.132      -0.765
       74.00     1286.00     1073.00     496.100       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       78.00     1110.00     1047.00     758.190       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       79.00      892.00     1200.00    1319.813       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       82.00     1286.00     1073.00     346.334       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       87.00     1110.00     1047.00     861.154       5.000       2.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       91.00     1110.00     1047.00     861.154       7.000       3.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       97.00     1110.00     1047.00     514.821       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       86.00      892.00     1200.00    1029.641       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       86.00     1159.00     1323.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       90.00     1286.00     1073.00     355.694       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
       94.00      892.00     1200.00    1759.750       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
       97.00     1286.00     1073.00     336.973       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      101.00      892.00     1200.00    2209.048       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      104.00     1286.00     1073.00     496.100       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      109.00      892.00     1200.00    1759.750       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      111.00     1286.00     1073.00     608.424       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      115.00      892.00     1200.00    2798.752       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      115.00     1120.00      711.00     234.009       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      118.00     1286.00     1073.00     374.415       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      122.00     1286.00     1073.00     252.730       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      125.50     1286.00     1073.00     290.172       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      123.00      892.00     1200.00     580.343       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
